"spp","mean","p5","p25","p75","p95"
"1",1.105,-2.67,-0.365,2.576,4.782
"2",-0.504,-2.92,-1.493,0.5,1.992
"3",0.878,-2.254,-0.419,2.17,4.056
"4",1.067,-1.84,-0.111,2.221,3.963
"5",0.21,-2.707,-0.988,1.404,3.026
"6",-1.054,-3.995,-2.248,0.16,1.94
"7",-1.764,-4.649,-2.915,-0.581,1.106
"8",-0.918,-4.048,-2.205,0.326,2.199
"9",0.393,-3.011,-0.941,1.731,3.718
"10",-0.917,-4.302,-2.33,0.46,2.596
"11",-1.903,-4.556,-2.981,-0.842,0.765
