"year","mean","p5","p25","p75","p95"
"1",0.059,-0.497,-0.16,0.283,0.601
"2",-0.069,-0.629,-0.292,0.153,0.479
"3",-0.003,-0.56,-0.223,0.222,0.546
"4",-0.077,-0.639,-0.297,0.148,0.481
"5",0.178,-0.393,-0.043,0.403,0.732
"6",0.075,-0.484,-0.149,0.3,0.63
"7",-0.225,-0.791,-0.446,0.001,0.32
"8",-0.056,-0.614,-0.273,0.168,0.48
"9",0.021,-0.535,-0.201,0.245,0.562
