"year","mean","p5","p25","p75","p95"
"1",0.068,-0.484,-0.166,0.294,0.643
"2",-0.069,-0.635,-0.301,0.158,0.509
"3",-0.005,-0.573,-0.241,0.225,0.578
"4",-0.073,-0.642,-0.309,0.163,0.507
"5",0.181,-0.379,-0.053,0.406,0.758
"6",0.086,-0.477,-0.147,0.311,0.679
"7",-0.248,-0.808,-0.481,-0.019,0.329
"8",-0.06,-0.629,-0.291,0.164,0.516
"9",0.023,-0.54,-0.209,0.255,0.594
