"spp","mean","p5","p25","p75","p95"
"1",-0.006,-2.54,-1.075,1.065,2.742
"2",-0.037,-2.523,-1.106,1.018,2.625
"3",-0.197,-2.667,-1.249,0.891,2.45
"4",0.446,-2.037,-0.643,1.526,3.08
"5",0.015,-2.466,-1.009,1.085,2.721
"6",-0.377,-2.847,-1.46,0.719,2.274
"7",-0.359,-2.79,-1.426,0.715,2.306
"8",-0.208,-2.678,-1.239,0.841,2.476
"9",-0.2,-2.898,-1.35,0.912,2.582
"10",-0.257,-2.842,-1.343,0.856,2.484
"11",0.156,-2.254,-0.917,1.26,2.797
