"","id","year","symbol","genus","species","latbi","commonName","plantNickname","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG","lengthMM"
"33","ACSA_187-2006_B",2022,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",125,133,133,NA,NA,NA,NA,NA,NA,266,21.9,"04-26-2006",133,141,331.583333333333,390.138888888889,2578.83333333333,2188.69444444444,2247.25,137.222222222222,164.555555555556,1695.97222222222,1531.41666666667,1558.75,1562.38888888889,9.5123
"35","ACSA_187-2006_B",2023,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",118,118,118,108,117,121,121,279,279,274,21.9,"04-26-2006",156,156,313.777777777778,313.777777777778,2546.41666666667,2232.63888888889,2232.63888888889,115.583333333333,115.583333333333,1617.38888888889,1501.80555555555,1501.80555555555,1501.80555555555,6.1341
"37","ACSA_187-2006_B",2024,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",124,128,128,NA,NA,NA,NA,NA,NA,NA,21.9,"04-26-2006",NA,NA,287.972222222222,321.833333333333,NA,NA,NA,116.277777777778,133.833333333333,NA,NA,NA,1553.72222222222,0.6985
"39","ACSA_20645_A",2016,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","20645*A",115,144,117,123,123,NA,163,262,NA,293,85.7,"11-09-1928",176,178,294.011111111111,304.175,2846.62777777778,2542.45277777778,2552.61666666666,129.511111111111,134.136111111111,1863.71111111111,1729.575,1734.2,1703.36944444445,1.3081
"41","ACSA_20645_A",2020,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","20645*A",121,126,124,NA,NA,NA,NA,NA,NA,290,85.7,"11-09-1928",166,169,246.444444444445,280.722222222222,2736.55555555555,2455.83333333333,2490.11111111111,81.7500000000001,102.083333333333,1801.72222222222,1699.63888888889,1719.97222222222,1620.52777777778,1.651
"43","ACSA_22834_B",2016,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",109,147,144,108,110,127,226,262,288,293,81.9,"02-02-1950",149,184,245.7,498.188888888889,2846.62777777778,2348.43888888889,2600.92777777778,102.4,233.044444444444,1863.71111111111,1630.66666666667,1761.31111111111,1604.46111111111,2.6797
"45","ACSA_22834_B",2017,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",101,110,209,105,108,113,279,279,279,271,81.9,"02-02-1950",62,170,183.927777777778,1538.63333333333,2504.35555555555,965.722222222221,2320.42777777778,75.2638888888889,951.766666666668,1609.62222222222,657.855555555555,1534.35833333333,698.141666666666,2.7813
"47","ACSA_22834_B",2020,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",122,126,121,108,NA,NA,257,NA,NA,291,81.9,"02-02-1950",170,169,256.277777777778,246.444444444445,2741.19444444444,2494.75,2484.91666666667,86.5833333333334,81.7500000000001,1803.86111111111,1722.11111111111,1717.27777777778,1640.86111111111,2.921
"49","ACSA_22834_B",2021,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",101,126,126,98,101,109,121,268,268,297,81.9,"02-02-1950",171,196,179.277777777778,319.5,2807.19444444444,2487.69444444444,2627.91666666667,79.1111111111111,144.833333333333,1812.63888888889,1667.80555555555,1733.52777777778,1614.25,4.6609
"51","ACSA_22834_B",2022,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",125,125,125,NA,NA,NA,NA,NA,NA,266,81.9,"02-02-1950",141,141,331.583333333333,331.583333333333,2578.83333333333,2247.25,2247.25,137.222222222222,137.222222222222,1695.97222222222,1558.75,1558.75,1589.72222222222,2.8956
"53","ACSA_22834_B",2023,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",102,104,104,101,102,112,121,263,263,274,81.9,"02-02-1950",170,172,211.972222222222,242.75,2546.41666666667,2303.66666666667,2334.44444444444,70.8055555555555,91.6388888888889,1617.38888888889,1525.75,1546.58333333333,1525.75,3.0988
"55","ACSA_22834_B",2024,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",121,121,121,NA,NA,NA,NA,NA,NA,276,81.9,"02-02-1950",155,155,267.527777777778,267.527777777778,2604.88888888889,2337.36111111111,2337.36111111111,106.694444444444,106.694444444444,1687.55555555556,1580.86111111111,1580.86111111111,1580.86111111111,2.0574
"57","ACSA_689-2010_A",2017,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",117,114,113,114,NA,NA,260,224,224,270,78,"11-18-2010",157,153,290.847222222222,261.322222222222,2490.41388888889,2229.09166666667,2199.56666666667,129.747222222222,116.202777777778,1600.68055555556,1484.47777777778,1470.93333333333,1533.70555555556,1.5113
"59","ACSA_689-2010_A",2020,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",112,123,123,112,NA,NA,NA,NA,NA,260,78,"11-18-2010",137,148,222.944444444445,265.777777777778,2422.52777777778,2156.75,2199.58333333333,75.8055555555556,92.1388888888889,1613.61111111111,1521.47222222222,1537.80555555555,1630.47222222222,3.5179
"61","ACSA_689-2010_A",2021,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",99,110,110,96,99,NA,118,187,187,289,78,"11-18-2010",179,190,163.583333333333,218.333333333333,2740.27777777778,2521.94444444444,2576.69444444444,70.1666666666666,97.3333333333333,1776.33333333333,1679,1706.16666666667,1661.75,3.3909
"63","ACSA_689-2010_A",2022,"ACSA","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",106,120,117,NA,NA,NA,NA,NA,NA,281,78,"11-18-2010",164,175,236.611111111111,286.083333333333,2713.25,2427.16666666667,2476.63888888889,99.0277777777778,117.583333333333,1764.08333333333,1646.5,1665.05555555555,1609.36111111111,2.4257
"65","AEFL_12651_C",2016,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",105,113,108,122,130,NA,179,274,274,274,35.3,"07-01-1906",166,169,226.336111111111,238.494444444444,2676.37222222222,2437.87777777778,2450.03611111111,93.0361111111111,97.6944444444445,1766.95277777778,1669.25833333333,1673.91666666667,1657.04444444444,0.7366
"67","AEFL_12651_C",2017,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",108,110,108,119,127,NA,NA,NA,NA,NA,35.3,"07-01-1906",NA,NA,242.377777777778,242.377777777778,NA,NA,NA,108.713888888889,108.713888888889,NA,NA,NA,1463.78611111111,0.4826
"69","AEFL_12651_C",2018,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",117,139,122,125,131,NA,263,NA,NA,199,35.3,"07-01-1906",77,82,226.783333333333,271.027777777778,1376.38055555556,1105.35277777778,1149.59722222222,86.75,114.169444444444,848.15,733.980555555556,761.4,981.108333333334,0.6223
"71","AEFL_12651_C",2020,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",101,112,112,108,140,NA,169,NA,271,197,35.3,"07-01-1906",85,96,180.861111111111,222.944444444445,1271.77777777778,1048.83333333333,1090.91666666667,61.2500000000001,75.8055555555556,775.805555555556,700,714.555555555556,1216.22222222222,0.5461
"73","AEFL_12651_D",2016,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",111,142,148,113,130,NA,262,262,260,274,60.2,"07-01-1906",126,163,255.144444444444,555.077777777778,2676.37222222222,2121.29444444444,2421.22777777778,105.511111111111,269.933333333333,1766.95277777778,1497.01944444445,1661.44166666667,1484.80555555556,1.1176
"75","AEFL_12651_D",2017,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",108,110,108,108,127,NA,NA,NA,NA,267,60.2,"07-01-1906",159,159,242.377777777778,242.377777777778,2433.71666666667,2191.33888888889,2191.33888888889,108.713888888889,108.713888888889,1558.98333333333,1450.26944444445,1450.26944444445,1463.78611111111,1.8161
"77","AEFL_12651_D",2018,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",114,122,117,126,133,NA,145,263,263,159,60.2,"07-01-1906",42,45,202.072222222222,226.783333333333,701.869444444444,475.086111111111,499.797222222222,75.2,86.75,373.638888888889,286.888888888889,298.438888888889,1008.52777777778,2.1336
"79","AEFL_12651_H",2016,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",110,142,148,112,130,NA,156,262,262,262,49.1,"07-01-1906",114,152,250.702777777778,555.077777777778,2527.22222222222,1972.14444444444,2276.51944444444,104.172222222222,269.933333333333,1673.25833333333,1403.325,1569.08611111111,1484.80555555556,1.0922
"81","AEFL_12651_H",2017,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",108,110,108,119,127,NA,NA,NA,NA,NA,49.1,"07-01-1906",NA,NA,242.377777777778,242.377777777778,NA,NA,NA,108.713888888889,108.713888888889,NA,NA,NA,1463.78611111111,0.9652
"83","AEFL_12651_H",2018,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",114,117,117,126,131,NA,145,NA,NA,NA,49.1,"07-01-1906",NA,NA,202.072222222222,226.783333333333,NA,NA,NA,75.2,86.75,NA,NA,NA,1008.52777777778,1.7272
"85","AEFL_12651_I",2017,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",107,114,126,NA,NA,NA,254,NA,267,270,61.1,"07-01-1906",144,163,239.694444444445,370.063888888889,2490.41388888889,2120.35,2250.71944444444,108.530555555556,174.247222222222,1600.68055555556,1426.43333333333,1492.15,1398.25277777778,1.2192
