"spp","mean","p5","p25","p75","p95"
"1",-0.043,-0.257,-0.133,0.047,0.172
"2",0.074,-0.019,0.036,0.114,0.168
"3",-0.039,-0.21,-0.109,0.031,0.132
"4",-0.07,-0.212,-0.127,-0.01,0.07
"5",0.027,-0.104,-0.027,0.081,0.162
"6",0.074,-0.075,0.01,0.137,0.22
"7",0.097,-0.037,0.042,0.151,0.234
"8",0.061,-0.087,0,0.123,0.21
"9",0.003,-0.17,-0.066,0.072,0.179
"10",0.082,-0.103,0.011,0.153,0.263
"11",0.142,0.018,0.09,0.193,0.269
