"year","mean","p5","p25","p75","p95"
"1",0.062,-0.48,-0.17,0.285,0.633
"2",-0.067,-0.614,-0.298,0.159,0.496
"3",-0.003,-0.548,-0.236,0.22,0.57
"4",-0.074,-0.627,-0.306,0.153,0.5
"5",0.179,-0.377,-0.053,0.408,0.747
"6",0.074,-0.473,-0.159,0.305,0.655
"7",-0.223,-0.764,-0.453,0.001,0.348
"8",-0.057,-0.595,-0.289,0.167,0.515
"9",0.024,-0.515,-0.203,0.246,0.593
