"spp","mean","p5","p25","p75","p95"
"1",-1.085,-5.619,-3.013,0.795,3.44
"2",-0.372,-3.786,-1.764,1.017,3.024
"3",-0.488,-3.33,-1.688,0.696,2.384
"4",3.248,-0.466,1.722,4.785,6.956
"5",-0.496,-3.647,-1.778,0.766,2.671
"6",-1.16,-4.457,-2.532,0.217,2.118
"7",-0.353,-4.008,-1.854,1.162,3.285
"8",-0.488,-3.538,-1.733,0.746,2.499
"9",-1.439,-6.323,-3.465,0.559,3.475
"10",-1.435,-6.042,-3.332,0.408,3.217
"11",0.92,-1.925,-0.281,2.101,3.806
