"id","genus","species","latbi","commonName","plantNickname","symbol","year","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","lat","long"
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A","ACSA3",2021,99,110,110,96,99,NA,118,187,187,289,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A","ACSA3",2022,106,120,117,NA,NA,NA,NA,NA,NA,281,78,"11-18-2010",42.2917509,-71.1278148
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C","AEFL",2016,105,113,108,122,130,NA,179,274,274,274,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C","AEFL",2017,108,110,108,119,127,NA,NA,NA,NA,NA,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C","AEFL",2018,117,139,122,125,131,NA,263,NA,NA,199,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C","AEFL",2020,101,112,112,108,140,NA,169,NA,271,197,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D","AEFL",2016,111,142,148,113,130,NA,262,262,260,274,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D","AEFL",2017,108,110,108,108,127,NA,NA,NA,NA,267,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D","AEFL",2018,114,122,117,126,133,NA,145,263,263,159,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H","AEFL",2016,110,142,148,112,130,NA,156,262,262,262,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H","AEFL",2017,108,110,108,119,127,NA,NA,NA,NA,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H","AEFL",2018,114,117,117,126,131,NA,145,NA,NA,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I","AEFL",2017,107,114,126,NA,NA,NA,254,NA,267,270,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I","AEFL",2018,116,121,117,124,141,NA,187,251,251,260,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I","AEFL",2021,110,110,110,117,NA,NA,143,243,243,272,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I","AEFL",2022,115,115,115,115,128,NA,140,NA,NA,199,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I","AEFL",2024,108,113,224,116,NA,NA,148,NA,NA,245,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2016,110,142,112,112,130,NA,154,260,274,274,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2017,108,108,108,108,119,NA,136,NA,NA,NA,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2018,112,138,116,125,138,NA,151,259,259,249,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2020,105,111,111,108,126,NA,147,236,236,264,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2021,98,98,98,98,119,NA,134,256,268,196,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2023,102,104,104,103,114,NA,244,263,263,259,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B","AEFL",2024,106,107,107,107,121,NA,171,NA,NA,227,44.5,"09-24-1979",42.30391297,-71.12232333
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A","BEAL2",2018,118,124,122,142,124,NA,320,320,313,264,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A","BEAL2",2020,159,126,126,119,126,NA,305,257,257,257,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A","BEAL2",2021,108,114,114,100,109,NA,152,211,211,261,73.8,"10-15-1900",42.3020682,-71.12386246
