"spp","mean","p5","p25","p75","p95"
"1",0.039,-0.066,-0.004,0.083,0.141
"2",0.029,-0.027,0.006,0.052,0.084
"3",0.021,-0.01,0.008,0.033,0.051
"4",-0.089,-0.164,-0.119,-0.058,-0.011
"5",0.031,-0.018,0.011,0.052,0.08
"6",0.036,-0.019,0.013,0.059,0.091
"7",0.008,-0.064,-0.022,0.038,0.078
"8",0.018,-0.021,0.002,0.034,0.059
"9",0.048,-0.066,0.002,0.095,0.162
"10",0.05,-0.056,0.009,0.091,0.155
"11",-0.013,-0.045,-0.026,-0.001,0.018
