"id","genus","species","latbi","commonName","plantNickname","year","budburst","leafout","coloredLeaves","DBH","accessionDate","lat","long"
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2017,101,108,271,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2018,NA,125,285,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2019,106,111,279,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2020,122,121,291,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2021,101,103,297,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2022,125,125,266,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2023,102,104,274,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_22834_B","Acer","saccharum","Acer saccharum","Sugar maple","22834*B",2024,121,121,276,81.9,"02-02-1950",42.3040241,-71.12065871
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2016,116,130,286,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2017,102,108,270,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2018,NA,122,287,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2019,NA,115,285,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2020,112,123,260,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2021,99,110,289,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2022,106,117,281,78,"11-18-2010",42.2917509,-71.1278148
"ACSA_689-2010_A","Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",2024,NA,116,277,78,"11-18-2010",42.2917509,-71.1278148
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2015,NA,165,NA,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2016,105,108,274,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2017,108,108,NA,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2018,117,122,199,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2019,NA,111,243,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2020,101,112,197,35.3,"07-01-1906",42.30355576,-71.1212595
