"year","mean","p5","p25","p75","p95"
"1",0.067,-0.481,-0.16,0.286,0.614
"2",-0.126,-0.68,-0.356,0.097,0.419
"3",0.007,-0.546,-0.23,0.232,0.544
"4",-0.077,-0.635,-0.311,0.148,0.484
"5",0.195,-0.358,-0.039,0.424,0.735
"6",0.068,-0.495,-0.158,0.298,0.617
"7",-0.259,-0.813,-0.488,-0.034,0.282
"8",-0.003,-0.551,-0.23,0.219,0.537
"9",-0.006,-0.552,-0.233,0.219,0.532
