"","id","year","genus","species","latbi","commonName","plantNickname","budburst","leafout","coloredLeaves","DBH","lengthMM","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG"
"50","ACSA_12565_C",2019,"Acer","saccharum","Acer saccharum","Sugar maple","12565*C",109,120,293,97.6,0.4318,"10-15-1883",173,184,202.997222222222,272.486111111111,2647.88055555556,2375.39444444445,2444.88333333333,86.3694444444445,118.055555555556,1695.9,1577.84444444444,1609.53055555556,1540.07777777778
"51","ACSA_12565_C",2020,"Acer","saccharum","Acer saccharum","Sugar maple","12565*C",121,124,278,97.6,1.1176,"10-15-1883",154,157,246.444444444445,280.722222222222,2628.80555555555,2348.08333333333,2382.36111111111,81.7500000000001,102.083333333333,1744.47222222222,1642.38888888889,1662.72222222222,1620.52777777778
"206","ACSA_187-2006_B",2015,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",NA,NA,280,21.9,6.5278,"04-26-2006",NA,NA,NA,NA,2592.15277777778,NA,NA,NA,NA,1719.09722222222,NA,NA,NA
"207","ACSA_187-2006_B",2016,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",130,133,288,21.9,9.2329,"04-26-2006",155,158,361.85,392.922222222222,2792.33055555555,2399.40833333333,2430.48055555555,154.258333333333,174.775,1829.41388888889,1654.63888888889,1675.15555555556,1656.80833333333
"208","ACSA_187-2006_B",2017,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",127,131,294,21.9,10.7823,"04-26-2006",163,167,378.963888888889,396.913888888889,2751.76388888889,2354.85,2372.8,178.430555555556,184.338888888889,1762.73611111111,1578.39722222222,1584.30555555556,1441.30555555556
"209","ACSA_187-2006_B",2018,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",125,127,285,21.9,11.1379,"04-26-2006",158,160,324.438888888889,341.977777777778,2770.60555555556,2428.62777777778,2446.16666666667,152.580555555556,160.836111111111,1820.44722222222,1659.61111111111,1667.86666666667,1649.04444444444
"210","ACSA_187-2006_B",2019,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",120,126,276,21.9,5.6388,"04-26-2006",150,156,272.486111111111,299.816666666667,2521.81944444445,2222.00277777778,2249.33333333333,118.055555555556,126.252777777778,1632.58055555556,1506.32777777778,1514.525,1531.88055555556
"211","ACSA_187-2006_B",2020,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",126,133,253,21.9,10.8458,"04-26-2006",120,127,294.888888888889,327.166666666667,2336.72222222222,2009.55555555555,2041.83333333333,109.805555555556,125.194444444444,1560.75,1435.55555555556,1450.94444444444,1597.41666666667
"212","ACSA_187-2006_B",2021,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",109,126,276,21.9,4.2799,"04-26-2006",150,167,208.583333333333,319.5,2589.47222222222,2269.97222222222,2380.88888888889,90.5833333333333,144.833333333333,1690.33333333333,1545.5,1599.75,1614.25
"213","ACSA_187-2006_B",2022,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",125,133,266,21.9,9.5123,"04-26-2006",133,141,331.583333333333,390.138888888889,2578.83333333333,2188.69444444444,2247.25,137.222222222222,164.555555555556,1695.97222222222,1531.41666666667,1558.75,1562.38888888889
"214","ACSA_187-2006_B",2023,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",118,118,274,21.9,6.1341,"04-26-2006",156,156,313.777777777778,313.777777777778,2546.41666666667,2232.63888888889,2232.63888888889,115.583333333333,115.583333333333,1617.38888888889,1501.80555555555,1501.80555555555,1501.80555555555
"215","ACSA_187-2006_B",2024,"Acer","saccharum","Acer saccharum","Sugar maple","187-2006*B",124,128,NA,21.9,0.6985,"04-26-2006",NA,NA,287.972222222222,321.833333333333,NA,NA,NA,116.277777777778,133.833333333333,NA,NA,NA,1553.72222222222
"250","ACSA_20645_A",2015,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",NA,NA,280,85.7,3.2893,"11-09-1928",NA,NA,NA,NA,2592.15277777778,NA,NA,NA,NA,1719.09722222222,NA,NA,NA
"251","ACSA_20645_A",2016,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",115,117,293,85.7,1.3081,"11-09-1928",176,178,294.011111111111,304.175,2846.62777777778,2542.45277777778,2552.61666666666,129.511111111111,134.136111111111,1863.71111111111,1729.575,1734.2,1697.44722222222
"252","ACSA_20645_A",2017,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",107,113,252,85.7,1.5875,"11-09-1928",139,145,239.694444444445,261.322222222222,2205.35,1944.02777777778,1965.65555555556,108.530555555556,116.202777777778,1405.61666666667,1289.41388888889,1297.08611111111,1509.44166666667
"253","ACSA_20645_A",2018,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",NA,132,287,85.7,2.1209,"11-09-1928",155,NA,NA,387.352777777778,2778.725,2391.37222222222,NA,NA,185.013888888889,1823.56666666667,1638.55277777778,NA,1624.86666666667
"254","ACSA_20645_A",2019,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",109,111,276,85.7,1.7399,"11-09-1928",165,167,202.997222222222,228.5,2521.81944444445,2293.31944444445,2318.82222222222,86.3694444444445,101.872222222222,1632.58055555556,1530.70833333333,1546.21111111111,1556.26111111111
"255","ACSA_20645_A",2020,"Acer","saccharum","Acer saccharum","Sugar maple","20645*A",121,124,290,85.7,1.651,"11-09-1928",166,169,246.444444444445,280.722222222222,2736.55555555555,2455.83333333333,2490.11111111111,81.7500000000001,102.083333333333,1801.72222222222,1699.63888888889,1719.97222222222,1620.52777777778
"273","ACSA_22834_B",2015,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",NA,NA,280,81.9,5.5626,"02-02-1950",NA,NA,NA,NA,2592.15277777778,NA,NA,NA,NA,1719.09722222222,NA,NA,NA
"274","ACSA_22834_B",2016,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",109,112,293,81.9,2.6797,"02-02-1950",181,184,245.7,265.2,2846.62777777778,2581.42777777778,2600.92777777778,102.4,113.066666666667,1863.71111111111,1750.64444444445,1761.31111111111,1718.51666666667
"275","ACSA_22834_B",2017,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",101,108,271,81.9,2.7813,"02-02-1950",163,170,183.927777777778,242.377777777778,2504.35555555555,2261.97777777778,2320.42777777778,75.2638888888889,108.713888888889,1609.62222222222,1500.90833333333,1534.35833333333,1516.93055555556
"276","ACSA_22834_B",2018,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",NA,125,285,81.9,2.8194,"02-02-1950",160,NA,NA,324.438888888889,2770.60555555556,2446.16666666667,NA,NA,152.580555555556,1820.44722222222,1667.86666666667,NA,1657.3
"277","ACSA_22834_B",2019,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",106,111,279,81.9,3.5306,"02-02-1950",168,173,176.827777777778,228.5,2540.53055555556,2312.03055555556,2363.70277777778,70.2000000000001,101.872222222222,1642.98611111111,1541.11388888889,1572.78611111111,1556.26111111111
"278","ACSA_22834_B",2020,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",122,121,291,81.9,2.921,"02-02-1950",170,169,256.277777777778,246.444444444445,2741.19444444444,2494.75,2484.91666666667,86.5833333333334,81.7500000000001,1803.86111111111,1722.11111111111,1717.27777777778,1640.86111111111
"279","ACSA_22834_B",2021,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",101,103,297,81.9,4.6609,"02-02-1950",194,196,179.277777777778,186.194444444444,2807.19444444444,2621,2627.91666666667,79.1111111111111,81.1111111111111,1812.63888888889,1731.52777777778,1733.52777777778,1677.97222222222
"280","ACSA_22834_B",2022,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",125,125,266,81.9,2.8956,"02-02-1950",141,141,331.583333333333,331.583333333333,2578.83333333333,2247.25,2247.25,137.222222222222,137.222222222222,1695.97222222222,1558.75,1558.75,1589.72222222222
"281","ACSA_22834_B",2023,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",102,104,274,81.9,3.0988,"02-02-1950",170,172,211.972222222222,242.75,2546.41666666667,2303.66666666667,2334.44444444444,70.8055555555555,91.6388888888889,1617.38888888889,1525.75,1546.58333333333,1525.75
"282","ACSA_22834_B",2024,"Acer","saccharum","Acer saccharum","Sugar maple","22834*B",121,121,276,81.9,2.0574,"02-02-1950",155,155,267.527777777778,267.527777777778,2604.88888888889,2337.36111111111,2337.36111111111,106.694444444444,106.694444444444,1687.55555555556,1580.86111111111,1580.86111111111,1580.86111111111
"315","ACSA_689-2010_A",2016,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",116,130,286,78,1.5494,"11-18-2010",156,170,300.675,361.85,2776.79444444444,2414.94444444444,2476.11944444444,133.136111111111,154.258333333333,1820.76111111111,1666.50277777778,1687.625,1677.325
