"spp","mean","p5","p25","p75","p95"
"1",-2.263,-15.002,-7.32,2.897,10.182
"2",7.207,-1.832,3.637,10.824,16.227
"3",0.364,-10.746,-4.267,5.029,11.254
"4",-0.233,-11.383,-4.757,4.171,10.912
"5",0.27,-10.432,-4.123,4.653,10.843
"6",-0.205,-11.256,-4.822,4.496,10.693
"7",1.921,-9.187,-2.564,6.33,13.03
"8",-11.53,-23.17,-16.451,-6.712,0.247
"9",3.61,-8.477,-1.328,8.581,15.485
"10",0.135,-12.16,-4.78,5.073,12.187
"11",-0.271,-10.422,-4.395,3.816,9.764
