"year","mean","p5","p25","p75","p95"
"1",0.056,-0.496,-0.162,0.276,0.608
"2",-0.079,-0.622,-0.301,0.145,0.466
"3",-0.017,-0.567,-0.24,0.214,0.538
"4",-0.08,-0.639,-0.31,0.15,0.487
"5",0.17,-0.391,-0.064,0.397,0.732
"6",0.069,-0.483,-0.156,0.302,0.627
"7",-0.256,-0.806,-0.481,-0.031,0.297
"8",-0.068,-0.623,-0.292,0.158,0.478
"9",0.013,-0.543,-0.212,0.243,0.565
