"year","mean","p5","p25","p75","p95"
"1",0.068,-0.493,-0.154,0.297,0.63
"2",-0.075,-0.64,-0.302,0.153,0.486
"3",-0.015,-0.579,-0.24,0.216,0.546
"4",-0.067,-0.629,-0.295,0.165,0.501
"5",0.181,-0.386,-0.049,0.415,0.745
"6",0.067,-0.493,-0.161,0.294,0.628
"7",-0.233,-0.798,-0.461,-0.006,0.323
"8",-0.054,-0.618,-0.279,0.174,0.501
"9",0.017,-0.546,-0.209,0.245,0.574
