"spp","mean","p5","p25","p75","p95"
"1",0.634,-0.16,0.314,0.95,1.44
"2",0.171,-0.301,-0.026,0.371,0.639
"3",0.381,-0.34,0.088,0.67,1.102
"4",0.515,-0.139,0.248,0.782,1.163
"5",0.451,-0.187,0.204,0.701,1.076
"6",0.485,-0.186,0.225,0.75,1.164
"7",0.387,-0.218,0.131,0.639,1.014
"8",1.036,0.408,0.774,1.285,1.689
"9",0.343,-0.356,0.041,0.643,1.055
"10",0.511,-0.199,0.232,0.795,1.211
"11",0.453,-0.111,0.21,0.694,1.044
