"spp","mean","p5","p25","p75","p95"
"1",0.05,-0.15,-0.034,0.133,0.249
"2",0.109,-0.011,0.06,0.157,0.228
"3",-0.015,-0.072,-0.039,0.008,0.041
"4",0.148,0.023,0.097,0.199,0.275
"5",-0.084,-0.166,-0.118,-0.05,-0.001
"6",0.01,-0.127,-0.048,0.067,0.149
"7",-0.039,-0.171,-0.094,0.015,0.094
"8",0.024,-0.053,-0.009,0.057,0.104
"9",-0.028,-0.381,-0.174,0.115,0.327
"10",0.09,-0.273,-0.061,0.242,0.458
"11",0.004,-0.055,-0.02,0.027,0.063
