"year","mean","p5","p25","p75","p95"
"1",0.062,-0.483,-0.17,0.291,0.606
"2",-0.079,-0.622,-0.311,0.15,0.457
"3",-0.019,-0.567,-0.25,0.214,0.53
"4",-0.072,-0.626,-0.303,0.164,0.475
"5",0.177,-0.373,-0.058,0.412,0.736
"6",0.06,-0.491,-0.175,0.294,0.614
"7",-0.236,-0.779,-0.474,-0.012,0.311
"8",-0.059,-0.609,-0.286,0.172,0.483
"9",0.013,-0.53,-0.22,0.242,0.562
