"spp","mean","p5","p25","p75","p95"
"1",-1.059,-3.729,-2.179,0.072,1.688
"2",0.31,-1.91,-0.591,1.221,2.501
"3",-0.08,-2.07,-0.886,0.767,1.893
"4",0.482,-1.823,-0.447,1.396,2.774
"5",-0.219,-2.298,-1.098,0.64,1.897
"6",-0.715,-2.878,-1.635,0.175,1.482
"7",-0.174,-2.436,-1.076,0.738,2.143
"8",-0.472,-2.605,-1.315,0.372,1.642
"9",-0.605,-3.194,-1.636,0.46,1.939
"10",-0.485,-3.376,-1.688,0.714,2.45
"11",0.482,-1.542,-0.347,1.294,2.505
