"spp","mean","p5","p25","p75","p95"
"1",0.05,-0.048,0.01,0.092,0.147
"2",0.004,-0.044,-0.016,0.023,0.049
"3",0,-0.023,-0.009,0.01,0.023
"4",-0.047,-0.11,-0.073,-0.021,0.016
"5",0.026,-0.022,0.006,0.045,0.075
"6",0.026,-0.028,0.003,0.047,0.079
"7",-0.012,-0.072,-0.038,0.013,0.05
"8",0.015,-0.031,-0.003,0.035,0.062
"9",0.032,-0.054,-0.003,0.067,0.117
"10",0.028,-0.079,-0.017,0.073,0.137
"11",-0.021,-0.051,-0.034,-0.009,0.009
