"spp","mean","p5","p25","p75","p95"
"1",-0.149,-2.468,-1.113,0.827,2.196
"2",0.178,-2.156,-0.788,1.167,2.541
"3",-0.25,-2.6,-1.21,0.714,2.124
"4",-0.636,-3.017,-1.595,0.34,1.73
"5",0.156,-2.259,-0.803,1.141,2.454
"6",-0.332,-2.69,-1.285,0.645,1.95
"7",-0.585,-2.952,-1.54,0.387,1.755
"8",-0.319,-2.666,-1.285,0.678,2.031
"9",-0.154,-2.475,-1.131,0.811,2.123
"10",-0.084,-2.453,-1.046,0.903,2.191
"11",-0.114,-2.472,-1.069,0.867,2.229
