"spp","mean","p5","p25","p75","p95"
"1",0.12,-0.187,-0.005,0.244,0.428
"2",0.08,-0.079,0.014,0.145,0.239
"3",0.058,-0.03,0.023,0.093,0.146
"4",-0.264,-0.484,-0.357,-0.17,-0.043
"5",0.088,-0.053,0.029,0.144,0.226
"6",0.103,-0.054,0.04,0.168,0.257
"7",0.024,-0.174,-0.055,0.103,0.226
"8",0.052,-0.058,0.007,0.096,0.163
"9",0.144,-0.197,-0.001,0.287,0.488
"10",0.146,-0.147,0.029,0.268,0.437
"11",-0.038,-0.124,-0.072,-0.004,0.046
