"spp","mean","p5","p25","p75","p95"
"1",-0.174,-2.504,-1.106,0.784,2.109
"2",0.229,-2.096,-0.712,1.171,2.544
"3",-0.273,-2.587,-1.232,0.651,2.066
"4",-0.648,-2.982,-1.606,0.319,1.65
"5",0.158,-2.149,-0.792,1.107,2.503
"6",-0.345,-2.618,-1.3,0.616,1.952
"7",-0.58,-2.885,-1.513,0.367,1.77
"8",-0.316,-2.623,-1.265,0.623,1.993
"9",-0.118,-2.417,-1.07,0.825,2.187
"10",-0.058,-2.394,-0.992,0.874,2.263
"11",-0.119,-2.4,-1.058,0.843,2.184
