"spp","mean","p5","p25","p75","p95"
"1",0.001,-0.294,-0.118,0.116,0.295
"2",0.146,-0.031,0.074,0.219,0.317
"3",0.039,-0.029,0.011,0.068,0.107
"4",-0.35,-0.537,-0.431,-0.269,-0.16
"5",0.12,-0.009,0.066,0.174,0.252
"6",0.082,-0.104,0.003,0.161,0.263
"7",-0.019,-0.221,-0.1,0.062,0.181
"8",0.019,-0.087,-0.024,0.06,0.125
"9",0.108,-0.268,-0.042,0.262,0.487
"10",0.139,-0.126,0.029,0.251,0.396
"11",-0.036,-0.13,-0.074,0.002,0.058
