"year","mean","p5","p25","p75","p95"
"1",0.076,-0.484,-0.151,0.307,0.633
"2",-0.067,-0.626,-0.295,0.164,0.491
"3",-0.006,-0.562,-0.237,0.226,0.561
"4",-0.06,-0.616,-0.289,0.175,0.507
"5",0.192,-0.371,-0.039,0.426,0.763
"6",0.075,-0.484,-0.152,0.307,0.647
"7",-0.222,-0.786,-0.448,0.007,0.336
"8",-0.045,-0.6,-0.271,0.18,0.524
"9",0.026,-0.527,-0.2,0.252,0.594
