"spp","mean","p5","p25","p75","p95"
"1",-0.195,-2.664,-1.204,0.778,2.24
"2",0.243,-2.206,-0.727,1.247,2.673
"3",-0.329,-2.793,-1.361,0.697,2.13
"4",-0.669,-3.11,-1.669,0.343,1.791
"5",0.147,-2.281,-0.833,1.142,2.54
"6",-0.335,-2.742,-1.329,0.686,2.043
"7",-0.671,-3.112,-1.676,0.338,1.743
"8",-0.414,-2.823,-1.401,0.576,2.02
"9",-0.101,-2.499,-1.087,0.893,2.351
"10",-0.063,-2.475,-1.062,0.961,2.367
"11",-0.005,-2.418,-1.006,0.973,2.471
