"spp","mean","p5","p25","p75","p95"
"1",-0.067,-0.253,-0.143,0.009,0.115
"2",0.114,-0.009,0.063,0.163,0.241
"3",0.035,-0.021,0.013,0.058,0.091
"4",-0.148,-0.285,-0.203,-0.094,-0.014
"5",0.116,0.026,0.079,0.152,0.209
"6",-0.014,-0.176,-0.08,0.052,0.146
"7",-0.058,-0.208,-0.118,0.002,0.091
"8",-0.009,-0.104,-0.047,0.031,0.086
"9",0.002,-0.305,-0.125,0.128,0.323
"10",0.085,-0.147,-0.006,0.178,0.313
"11",-0.048,-0.118,-0.077,-0.019,0.022
