"spp","mean","p5","p25","p75","p95"
"1",-0.072,-0.339,-0.177,0.035,0.185
"2",0.082,-0.018,0.041,0.124,0.183
"3",-0.05,-0.246,-0.129,0.026,0.146
"4",-0.083,-0.244,-0.148,-0.015,0.077
"5",0.033,-0.114,-0.027,0.093,0.177
"6",0.089,-0.078,0.02,0.157,0.251
"7",0.119,-0.026,0.063,0.177,0.267
"8",0.077,-0.089,0.012,0.145,0.245
"9",-0.001,-0.205,-0.084,0.081,0.196
"10",0.107,-0.111,0.022,0.194,0.315
"11",0.164,0.026,0.109,0.219,0.301
