"spp","mean","p5","p25","p75","p95"
"1",0.141,-2.334,-0.872,1.13,2.597
"2",-0.643,-2.678,-1.479,0.194,1.387
"3",-0.256,-1.864,-0.919,0.384,1.397
"4",2.379,0.237,1.532,3.22,4.472
"5",-0.458,-2.242,-1.205,0.256,1.367
"6",-0.642,-2.632,-1.472,0.17,1.402
"7",-0.087,-2.212,-0.946,0.767,2.053
"8",-0.137,-1.838,-0.844,0.568,1.569
"9",-0.502,-3.409,-1.722,0.691,2.414
"10",-0.734,-3.144,-1.715,0.257,1.659
"11",0.504,-1.157,-0.17,1.167,2.171
