"spp","mean","p5","p25","p75","p95"
"1",0.149,-0.129,0.034,0.265,0.42
"2",0.008,-0.132,-0.049,0.065,0.148
"3",0.057,-0.031,0.021,0.093,0.143
"4",-0.135,-0.318,-0.213,-0.059,0.055
"5",0.077,-0.062,0.019,0.134,0.215
"6",0.077,-0.078,0.01,0.143,0.233
"7",-0.033,-0.205,-0.106,0.037,0.144
"8",0.046,-0.086,-0.004,0.099,0.175
"9",0.093,-0.165,-0.009,0.196,0.35
"10",0.085,-0.228,-0.048,0.218,0.403
"11",-0.059,-0.147,-0.095,-0.024,0.029
