"year","mean","p5","p25","p75","p95"
"1",-0.035,-0.583,-0.259,0.187,0.526
"2",0.004,-0.55,-0.219,0.228,0.562
"3",-0.001,-0.561,-0.226,0.222,0.562
"4",0.166,-0.399,-0.058,0.392,0.726
"5",0.008,-0.562,-0.218,0.233,0.578
"6",-0.053,-0.604,-0.273,0.172,0.508
"7",0.066,-0.484,-0.156,0.289,0.622
"8",0.057,-0.499,-0.167,0.282,0.615
"9",-0.302,-1.025,-0.606,-0.009,0.42
