"spp","mean","p5","p25","p75","p95"
"1",0.001,-0.056,-0.023,0.024,0.058
"2",0.03,-0.008,0.015,0.046,0.068
"3",0.009,-0.007,0.003,0.015,0.025
"4",-0.072,-0.114,-0.089,-0.054,-0.029
"5",0.026,-0.003,0.015,0.037,0.054
"6",0.017,-0.023,0.001,0.034,0.057
"7",-0.004,-0.048,-0.021,0.014,0.039
"8",0.004,-0.019,-0.005,0.013,0.027
"9",0.02,-0.052,-0.01,0.049,0.092
"10",0.027,-0.028,0.005,0.05,0.081
"11",-0.007,-0.027,-0.015,0.001,0.012
