"spp","mean","p5","p25","p75","p95"
"1",-0.116,-2.557,-1.044,0.922,2.204
"2",0.199,-2.21,-0.746,1.208,2.492
"3",-0.218,-2.661,-1.174,0.766,2.087
"4",-0.548,-2.983,-1.506,0.458,1.803
"5",0.202,-2.242,-0.758,1.223,2.517
"6",-0.295,-2.799,-1.227,0.707,2.072
"7",-0.538,-2.992,-1.486,0.473,1.736
"8",-0.282,-2.745,-1.238,0.741,2.006
"9",-0.058,-2.516,-1.016,0.949,2.263
"10",-0.031,-2.516,-0.974,0.977,2.267
"11",-0.057,-2.56,-0.994,0.949,2.208
