"year","mean","p5","p25","p75","p95"
"1",-0.422,-2.703,-1.328,0.498,1.802
"2",-1.017,-3.265,-1.94,-0.108,1.275
"3",-0.23,-2.544,-1.151,0.693,2.063
"4",-0.868,-3.205,-1.822,0.091,1.449
"5",-0.278,-2.629,-1.227,0.658,2.063
"6",-1.497,-3.848,-2.429,-0.544,0.812
"7",1.861,-0.383,0.931,2.772,4.143
"8",1.167,-1.06,0.269,2.07,3.41
"9",0.469,-1.805,-0.439,1.396,2.716
