Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Georeference Source,Accuracy,Certainty,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
567-2008*B,567-2008,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,567-2008,10-16-2008,Seedling,Acer rubrum,A. rubrum,,,Collected directly from the wild; origin known,VM,,SA,DACK-08 Adirondack Expedition 2008,27A,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",27A,10-07-2008,United States,"New York, Franklin Co., Paul Smiths",,5. Black Pond near Adirondack Park Visitor Interpretive Center - North 300 m from Black Pond.,Lat/long information comes from GPS (global positioning system).,Within 5 km of the coordinates.,Certain - an exact match for the locality name in the gazetteer or map; or information derived from a GPS (global positioning system).,,,514,M,10° NE,"Mesic woodland, canopy gap from recent (5 years?) Tsuga blow down. Growing in 0.5 shade.","Sandy, high organic matter","These are 2 - 3 month old seedlings; Mature trees in area, huge (to 23.0 m) and with very shaggy bark. < 15.24 cm.",Some Acer spicatum in area and some of these small seedlings may be that species. Collections made from ca. 20 plants.,"Abies balsamea, Acer platanoides, Acer spicatum, Betula alleghaniensis, Cornus canadensis, Fagus grandifolia, Picea sp., Tsuga canadensis, Viburnum lantanoides",11-NE,11,NE,42.30387167,-71.12031406,2019-10-07,Good,,2019-10-07,8.6,C,,,,,,,,,,1.6,No
611-2010*A,611-2010,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak, Stave Oak",Tree,611-2010,11-15-2010,Existing plant,Quercus alba,Q. alba,,,Uncertain origin,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,57-NE,57,NE,42.29281823,-71.12903099,2021-07-14,Good,,2021-07-14,75.7,C,,,,,,,,,,4.4,No
657-2008*A,657-2008,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,657-2008,10-30-2008,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Uncertain origin,XX,X,U,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,15-SE,15,SE,42.30216796,-71.12054823,2018-08-06,Good,,2018-08-06,,,,,4.5,M,C,5.5,M,C,,1.11,No
524-2009*A,524-2009,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,524-2009,09-09-2009,Existing plant,Acer rubrum,A. rubrum,,,Uncertain origin,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30316247,-71.12125376,2019-09-17,Good,,2019-09-17,64.2,C,,,,,,,,,,1.15,No
529-2009*A,529-2009,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,529-2009,09-09-2009,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Uncertain origin,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30327357,-71.1211043,2019-09-17,Good,,,,,,,,,,,,,,1.15,No
11253*A,11253,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,11253,01-13-1917,Seed,"Quercus borealis?, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,,United States,"North Carolina, Highlands",,,,,,,,,,,,,,,,25-SE,25,SE,42.30002036,-71.12432118,2017-12-31,Alive,,2017-10-17,69.5,C,,,,,,,,,,2.7,No
15350*A,15350,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,15350,04-16-1924,Plant,Acer rubrum,A. rubrum,,,Uncertain origin,,,,"Kelsey Highlands Nursery, East Boxford, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-NW,11,NW,42.30387456,-71.12074952,2019-09-23,Good,,2019-09-23,77.5,C,,,,,,,,,"Delendick, T., 15 May 1986, Acer rubrum, 2",1.6,No
16882*B,16882,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,16882,10-19-1916,Seed,"Quercus texana, Quercus texana shumardi, Quercus shumardii, Quercus borealis maxima, Quercus borealis, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T.G.",7,,United States,"Alabama, Birmingham",,,,,,,,,,,,,,,,32-NW,32,NW,42.29961037,-71.12377523,2017-12-31,Alive,,2017-10-18,61.6,C,,,,,,,,,,2.7,No
18197*A,18197,Rosaceae,Photinia,villosa,,Photinia villosa var. sinica,Accepted name,"eFloras 2003. Flora of China. Connaraceae through Rosaceae. Http://www.Efloras.Org/volume_page.Aspx?volume_id=2009&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Variety of Smooth Photinia,Intermediate (shrub/tree),18197,01-15-1923,Seed,"Photinia sp., P. villosa sinica",Phot. vill. var. sin.,var.,sinica,Collected directly from the wild; origin known,,,,,,,,,,"Hers, J.",2309,,China,,,,,,,,,,,,,,,,,19-NW,19,NW,42.30157727,-71.12612053,2023-10-23,Good,,2023-10-20,,,,,2.1,M,C,,,,"D. Michener, 01 Jun 1988, Photinia villosa var. sinica, 2",3.1,No
493-2009*A,493-2009,Hamamelidaceae,Hamamelis,virginiana,,Hamamelis virginiana,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,Hamamelis macrophylla,Common Witch-hazel,Shrub,493-2009,08-10-2009,Existing plant,Hamamelis virginiana,Ham. virg.,,,Uncertain origin,,X,U,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,25-SW,25,SW,42.29979127,-71.12506756,2017-10-17,Good,,2017-10-17,7.6,C,largest stem,,,,,,,,,2.7,No
